 A                   546749                   527310   1.0442369155039295E-005       9147 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  3  2  3  5
 A                   546749                   454410   8.6060826384882649E-006       9148 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  3  2  4  4
 A                   546749                   534600   2.0180059253954667E-007       9256 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  0  4  5
 A                   546749                   522450   1.3666566560005642E-007       9238 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  1  3  5
 A                   546749                   449550   1.7081923938442094E-007       9239 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  1  4  4
 A                   546749                   510300   2.9101200929955978E-009       9221 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  2  2  5
 A                   546749                   437400   6.2270865145479774E-007       9222 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  2  3  4
 A                   546749                   364500   1.2743948710412783E-007       9222 #   1  2  2  4  2  2  4  2  4  5 ->   2  2  2  4  2  2  4  2  4  3

 P                   546723                   546720   8.9921044766350208E-005       6892 #   2  2  2  3  2  2  4  2  4  5 ->   2  1  2  3  2  2  4  2  4  5
 P                   546723                   546714   2.5502186156763460E-005       7012 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  1  3  2  2  4  2  4  5
 P                   546723                   546696   3.7813886806391530E-005       7033 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  2  2  2  2  4  2  4  5
 P                   546723                   546588   1.3300829497737897E-005       7897 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  2  3  1  2  4  2  4  5
 P                   546723                   546318   3.3655128789263204E-006       7938 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  2  3  2  1  4  2  4  5
 P                   546723                   545508   6.7208284455700208E-006       7940 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  2  3  2  2  3  2  4  5
 V                   546723                   540648   1.1021504411626165E-006       8029 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  1  4  5
 P                   546723                   528498   2.1176427600169461E-007       8011 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  2  3  5
 P                   546723                   455598   2.6462975245140954E-007       8011 #   2  2  2  3  2  2  4  2  4  5 ->   2  2  2  3  2  2  4  2  4  4

 P                   546741                   546738   8.9921044766350208E-005       6892 #   2  2  1  4  2  2  4  2  4  5 ->   2  1  1  4  2  2  4  2  4  5
